nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
32^ Stagione Concertistica '15 '16  - Teatro Curci - Barletta;rassegna;0883332456;info@culturaemusica.it;http://www.culturaemusica.it;https://www.facebook.com/asscurci; ;pagamento;03-nov-15;Dieci eventi a cura dell'Associazione Cultura e Musica G. Curci per una grande Stagione Musicale nella splendida cornice del Teatro Curci!;Dieci eventi per una grande Stagione Musicale. L'Orchestra di Piazza Vittorio  i musical 'Cabaret' e 'Aggiungi un posto a tavola' gli Archi dei Berliner  Sollima  Bollani  Riondino  orchestre e solisti internazionali  nella splendida cornice del Teatro Comunale Curci di Barletta. Eventi per un &#34 Teatro in Musica&#34 . &#13 &#10 &#13 &#10 Il Teatro Musicale &#232  il tema dominante della programmazione proposta: dall&#8217 Opera lirica &#34 Tosca&#34   fra le pi&#249  belle mai rappresentate  al &#34 Flauto Magico&#34  rivisitato nella splendida versione della polietnica Orchestra di Piazza Vittorio (che girer&#224  un film su questa produzione)  dalla Traviata delle Camelie&#34  con D. Vergassola  D. Riondino e l&#8217 International Chambers Players  alla surreale &#34 Principessa Dada&#34  con il pirotecnico Stefano Bollani e Valentina Cenni. &#13 &#10 &#13 &#10 Ancora  due grandi Musical  la Compagnia della Rancia con l&#8217 intrigante &#34 Cabaret&#34   con G.Ingrassia  G.Ottonello e M. Simone  e la Compagnia dell&#8217 Alba con l&#8217 intramontabile &#8216 &#34 Aggiungi un posto a tavola&#34   di Garinei e Giovannini  con cast e produzioni di altissimo livello. Elevatissima la qualit&#224  delle proposte musicali classiche con gli straordinari Solisti dei Berliner Philarmoniker  il complesso d&#8217 archi di maggior prestigio al mondo e il duo formato da Giovanni Sollima &#38  Giuseppe Andaloro  tra i pi&#249  grandi solisti internazionali  con un programma di grande originalit&#224 . &#13 &#10 &#13 &#10 Grande musica sinfonica con il Concerto di Capodanno con l&#8217 Orchestra Filarmonica di Lviv e l'0rchestra Filarmonica Pugliese e i solisti del Premio MPM.;Barletta;110002;BT;29-dic-15;15-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9911 (il cartellone degli eventi) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9912 (Il Musical Cabaret) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9913**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9914 (Orchestra di Piazza Vitorio) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9915 (La Lirica) 
Stagione di Prosa '15 '16 - Comune di Cerignola;rassegna;0885-417347; ;http://www.teatropubblicopugliese.it/teatro/teatro-mercadante_41.html;http://www.teatropubblicopugliese.it;http://www.comune.cerignola.fg.it;pagamento;11-feb-16;Il Teatro Pubblico Pugliese e il Comune di Cerignola presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a aprile ;Il Teatro Pubblico Pugliese e il Comune di Cerignola presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a aprile 2016 presso il Teatro Mercadante di Cerignola (BA).;Cerignola;71020;FG;01-gen-16;23-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11141**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11142**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11143
XXII STAGIONE CONCERTISTICA CAELIUM;rassegna;3387286187;info@associazionecaelium.it;http://www.associazionecaelium.it/home.htm;http://www.associazionecaelium.it/home.htm; ;pagamento;18-feb-16;La Rassegna musicale Caelium si svolge nel Teatro Comunale di Ceglie Messapica (BR) da gennaio a maggio 2016 ;Il cartellone della XXII Stagione Concertistica Caelium propone ben dieci concerti con musiche che spaziano dal periodo barocco fino ai giorni nostri. Otto appuntamenti serali pi&#249  due di mattina dedicati agli alunni degli Istituti scolastici del territorio. I matin&#233 e musicali   importante innovazione di questa rassegna 2016   hanno lo scopo di arricchire  con la diretta collaborazione del mondo della scuola  l&#8217 educazione musicale dei ragazzi. Ricerca e innovazione dei linguaggi musicali sono presenti anche in questa edizione nel concerto con musiche di compositori italiani contemporanei - commissionate per il progetto artistico del Centro Musica Contemporanea di Milano - e affidate all&#8217 esecuzione dei musicisti del &#8220 New Made Ensemble&#8221 . Le informazioni dettagliate dei singoli eventi sono presenti nel sito: www.associazionecaelium.it              ;Ceglie Messapica;74003;BR;17-gen-16;14-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11236 (XXII STAGIONE CONCERTISTICA CAELIUM) 
Stagione di Prosa '15 '16 - Comune di Aradeo;rassegna;328.3149259 - 0836.553718;teatro@comune.aradeo.le.it;http://www.teatropubblicopugliese.it/teatro/teatro-domenico-modugno_56.html;http://www.teatropubblicopugliese.it;http://www.comune.aradeo.le.it ;pagamento;05-feb-16;Il Teatro Pubblico Pugliese e il Comune di Aradeo presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a aprile 2016 ;Il Teatro Pubblico Pugliese e il Comune di Aradeo presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a aprile 2016 presso il Teatro Domenico Modugno di Aradeo (LE).;Aradeo;75006;LE;21-gen-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11104**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11105**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11108
Stagione di Prosa '15 '16 - Comune di Lecce;rassegna;0832246517;teatropaisiello@gmail.com;http://www.comune.lecce.it;http://www.teatropubblicopugliese.it/teatro/teatro-paisiello_60.html; ;pagamento;26-feb-16;Il Teatro Pubblico Pugliese e il Comune di Lecce presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a maggio 2016 ;Il Teatro Pubblico Pugliese e il Comune di Lecce presentano una ricca Stagione di Prosa con spettacoli a partire da gennaio 2016 sino a maggio 2016 presso il Teatro Paisiello di Lecce.;Lecce;75035;LE;27-gen-16;08-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11358**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11359**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11360
Sudestival XVII edizione;rassegna;334 1310000;info@sudestival.org; ; ; ;pagamento;08-mar-16;Il meglio del cinema italiano della stagione a Monopoli dal 29 gennaio al 18 marzo;Ai nastri di partenza l&#8217 edizione 2016 del SUDESTIVAL  la storica rassegna di cinema d&#8217 autore organizzata dall&#8217 Associazione Sguardi per la direzione artistica di Michele Suma  che quest&#8217 anno riceve la MEDAGLIA DEL PRESIDENTE DELLA REPUBBLICA. Dal 29 gennaio al 18 marzo  otto appuntamenti settimanali con il cinema italiano di qualit&#224   presso il Cinema Vittoria di Monopoli. I film in concorso: In fondo al bosco di Stefano Lodovichi  Fino a qui tutto bene di Roan Johnson  Alaska di Claudio Cupellini  Solo per il weekend di Gianfranco Gaioni aka Director Kobayashi  Bolgia totale di Matteo Scifoni  Ritorno a Spoon River di Francesco Conversano e Nene Grignaffini  Un posto sicuro di Francesco Ghiaccio e Non essere cattivo di Claudio Caligari.&#13 &#10 Confermata per il quarto anno consecutivo la sezione SUDESTIVAL in CORTO  curata dall&#8217 Associazione Bachi da Setola. Si rinnova l&#8217 appuntamento con le LEZIONI su &#8220 I mestieri del cinema&#8221   tenute da autori e ospiti del festival. Il pubblico &#232  l&#8217 unico giurato del festival e assegner&#224  al miglior film il Premio &#8220 laFusillocostruzioni&#8221  (in denaro) e al miglior attore/attrice protagonista il Premio &#8220 Santa Teresa Resort&#8221 . La GIURIA GIOVANI individuer&#224  invece il film del Premio &#8220 Cinema Vittoria&#8221 . Novit&#224  dell&#8217 edizione 2016 il Premio &#8220 Stampa Monopoli&#8221  al miglior cortometraggio.&#13 &#10 I vincitori dell&#8217 edizione saranno premiati nell&#8217 ambito della Notte Bianca del Cinema Italiano che si svolger&#224  nel mese di luglio a Monopoli.&#13 &#10 ;Monopoli;72030;BA;29-gen-16;18-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11052**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11012**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11033
Stagione di Prosa '15 '16 - Comune di Adelfia;rassegna;080-4597455; ;http://www.teatropubblicopugliese.it/teatro/auditorium-comunale_358.html;http://www.teatropubblicopugliese.it; ;pagamento;05-feb-16;Il Teatro Pubblico Pugliese e il Comune di Adelfia presentano una ricca Stagione di Prosa con spettacoli a partire da febbraio 2016 sino ad aprile ;Il Teatro Pubblico Pugliese e il Comune di Adelfia presentano una ricca Stagione di Prosa con spettacoli a partire da febbraio 2016 sino ad aprile 2016 presso l'Auditorium Comunale di Adelfia.;Adelfia;72002;BA;19-feb-16;09-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11097**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11098**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11099
I Diorami di Pasqua;semplice;0831845363;pinto.emilio@libero.it;http://www.gpu-passioneoria.it; ; ;gratis;29-feb-16;La Mostra dei Diorami di Pasqua prevede la ricostruzione plastica tridimensionale nella rappresentazione di alcune scene della Passione di Ges&#249  Cristo nel tipico presepe con raffigurazioni molto suggestive ed evocative del culto pasquale. La mostra &#232  visitabile sino al 27 marzo presso la chiesa settecentesca di san Francesco d'Assisi in Oria(BR).;Sono stati coinvolti alcuni esperti oritani nell&#8217 arte del presepe natalizio ma che con la stessa arte si sono cimentati nella ricostruzione tipicamente artigianale nel rappresentare nei particolari i luoghi e gli ambienti dove si &#232  svolta la Passione di Cristo. Con i loro Diorami pasquali  in questa I edizione  espongono: Maria Luisa Galiano con &#8220  La Trasfigurazione di Ges&#249 &#8221   Teresa Pipino con &#8220  L&#8217 Ultima Cena  la  Lavanda dei piedi  l&#8217 Orto degli Ulivi &#8220  Giuseppe Felice con &#8220  La Via della Croce  la Crocifissione &#8220  e Pierino Toscano con &#8220 La Resurrezione&#8221  che  grazie all&#8217 estro creativo e al loro ingegno  hanno realizzato le varie raffigurazioni espressione del triduo pasquale.&#13 &#10 Si intende proseguire tale iniziativa anche  nel corso dei prossimi anni arricchendola con altre scene della Passione  coinvolgendo altri esperti del presepe con la finalit&#224  di creare una mostra permanente del Diorama Pasquale. Dal prossimo anno la mostra potrebbe essere  anche  ospitata presso altre Chiese di Oria.&#13 &#10 La particolare Mostra  in una suggestiva sequenza di &#8220 quadri&#8221  raffiguranti scene della Passione di Cristo  sar&#224  visitabile tutti i giorni  sino al 27 marzo(Domenica di Pasqua) negli orari di apertura della Chiesa di San Francesco d&#8217 Assisi ad Oria in Via Sen. Martini. ;Oria;74011;BR;21-feb-16;27-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11383**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11384**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11385**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11386
Keziat | La citt&#224  delle donne e altre storie;semplice;0882 334409 ;info@amaliadilanno.com; ;https://www.facebook.com/events/913454558770178/; ;gratis;11-feb-16;Il 2016 sar&#224  un anno intenso per l&#8217 artista pugliese Keziat. Dal 21 febbraio al 21 ottobre &#232  in programma infatti un nuovo straordinario ciclo internazionale di mostre personali intitolato Hybrids. La serie partir&#224   anche questa volta  dal MAT &#8211  Museo dell&#8217 Alto Tavoliere di San Severo (Foggia)  citt&#224  natale dell&#8217 artista. ;&#171 L&#8217 unico vero realista &#232  il visionario&#187 &#13 &#10 Federico Fellini&#13 &#10 &#13 &#10 Il 2016 sar&#224  un anno intenso per l&#8217 artista pugliese Keziat. Dal 21 febbraio al 21 ottobre &#232  in programma infatti un nuovo straordinario ciclo internazionale di mostre personali intitolato Hybrids  con testo critico unico a cura di Amalia di Lanno. La serie partir&#224   anche questa volta  dal MAT &#8211  Museo dell&#8217 Alto Tavoliere di San Severo (Foggia)  citt&#224  natale dell&#8217 artista. Dal 21 febbraio al 3 aprile il Museo presenter&#224  in anteprima l&#8217 esposizione &#8220 La citt&#224  delle donne e altre storie&#8221   a cura di Elena Antonacci  direttrice del MAT. La mostra &#232  un chiaro omaggio alla visione onirica di Federico Fellini e alla figura dell&#8217 artista Andrea Pazienza  autore del manifesto del film dal quale  in parte  il titolo di questa mostra &#232  ripreso. Hybrids &#232  un progetto Violipiano Visual  realizzato in collaborazione con il MAT &#8211  Museo dell&#8217 Alto Tavoliere di San Severo  il Comune di San Severo  la Societ&#224  Dante Alighieri di Miami (Usa)  il Consolato d&#8217 Italia a Miami (Usa)  il Museo Tuscolano Scuderie Aldobrandini di Frascati (Roma)  il Comune di Frascati (Roma)  l&#8217 Ambasciata d&#8217 Italia a Bangkok.;San Severo;71051;FG;21-feb-16;03-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11170**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11171**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11172
The End of Certainty;semplice;3348714094;info@muratcentoventidue.com;http://www.muratcentoventidue.com;https://www.facebook.com/MuratcentoventidueArtecontemporanea; ;gratis;12-feb-16;La galleria Muratcentoventidue prosegue il suo percorso espositivo con la mostra collettiva intitolata &#8220  The End of Certainty&#8221  che vede la partecipazione di Rebecca Agnes  Rita Casdia e Lucia Veronesi.;Il titolo &#8220 The End of Certainty&#8221   che cita il titolo del libro di Ilya Prigogine  premio Nobel per la fisica  riesce a rendere efficacemente l&#8217 idea del periodo che stiamo vivendo in cui l&#8217 unica costante sembra essere il cambiamento e l&#8217 unica certezza  l&#8217 incertezza. Stress  paura sociale e individuale  citt&#224  alienanti  legami fragili e mutevoli: la vita liquida &#232  precaria  vissuta in condizioni di continua incertezza  con la paura di essere colti alla sprovvista e rimanere indietro. La mostra propone opere diverse accumunate dal senso d&#8217 instabilit&#224  tipico dei nostri tempi.&#13 &#10 Le tre artiste in mostra operano in un ambito della video arte rappresentato dalla video animazione che sta vivendo in tutta Europa un momento di   fermento creativo grazie all&#8217 applicazione delle pi&#249  recenti tecnologie digitali ormai assimilate nell&#8217 ambito dell&#8217 arte ed essenziali a molta della produzione pi&#249  attuale. Tale interesse &#232  anche una conseguenza della fortuna di cui sembra tornato a godere il disegno dopo anni di estromissione a favore di altri media come la fotografia  il video o l&#8217 installazione. Matita e carta  oppure mouse e penna ottica  o ancora pupazzi e materiali di recupero: sono molteplici le tecniche usate dalle artiste per creare le loro storie come vari sono i loro percorsi artistici.;Bari;72006;BA;27-feb-16;03-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11185
Stagioni Ag&#236 mus 2016 - Inverno;rassegna;368.56.84.12 - 393.993.52.66 ; ;http://www.associazionepadovano.it; ; ;pagamento;18-feb-16;Da Vienna a Liverpool passando per Parigi. La musica viaggia e d&#224  spettacolo al Teatro van Westerhout di Mola di Bari col teatro champagne dell&#8217 Ag&#236 mus;Da Vienna a Liverpool  passando per Parigi. Dal 28 febbraio al 19 marzo la musica viaggia e d&#224  spettacolo al Teatro van Westerhout di Mola di Bari con il teatro champagne dell&#8217 Ag&#236 mus (Associazione Giovanni Padovano Iniziative Musicali)  tre affascinanti proposte di teatro musicale che spaziano tra operetta  Beatles e Puccini per la programmazione dell&#8217 inverno 2016  segmento inserito nelle Stagioni della ventiduesima edizione.&#13 &#10 Dopo la felice esperienza del 2015  la rassegna  diretta da Piero Rotolo con il sostegno della Regione Puglia e del Comune di Mola di Bari e il contributo della Fondazione Cassa di Risparmio di Puglia  aderisce nuovamente alla rete Orfeo Futuro e si apre il 28 febbraio su musiche di Strauss  Leh&#224 r  Lombardo e Offenbach con le atmosfere da caf&#233 -chantant di Mi chiamano Frou Frou  deliziosa incursione nel TeatrOpera del soprano Maria Grazia Pani. Spazia  invece  dal barocco al jazz-rock  con digressioni nell&#8217 art-d&#232 co e nel teatro di Dario Fo  lo spettacolo del 12 marzo The BumbleeBeetles con il quartetto  Dual Band  che sulle tracce dei Beatles presenta quel mix di generi proposto con successo al famoso Blue Note di Milano. E dopo Frou Frou  c&#8217 &#232  anche Mim&#236   come da oltre cent&#8217 anni si chiama la protagonista della Boh&#233 me  il capolavoro di Puccini che con Sc&#233 nes de la vie de Boh&#232 me il 19 marzo viene proposto nella rivisitazione del progetto Opera Studio realizzato dal dipartimento di Canto e Teatro Musicale del Conservatorio di Monopoli.;Mola di Bari;72028;BA;28-feb-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11239**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11240**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11241
